,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
Trend Following Walk-Forward,0.16925181533510525,0.165001141342941,1.030780057840881,1.1879603654406519,-0.21986125029213466,0.7698119387123311,0.40312774215324065,-0.11411006931656709,0.17136363161513898,59.0,5.661843107387662,11.227722772277227,510087.9062721015
Trend Following Fixed Baseline,0.16449757526234499,0.16291158404279973,1.0168836753213648,1.1617273710832683,-0.22265840706287088,0.7387889702089563,0.37608693727151365,-0.16041475674065342,0.168195082806073,53.0,5.086062452399086,10.076161462300076,488884.2945221939
QQQ Buy & Hold,0.20432369896852087,0.22246517188674594,0.9474890842769423,1.2068088974506712,-0.3511872359927688,0.5818084429831841,0.5485560683330362,-0.3257702382506106,0.21872819468112284,1.0,0.09596344249809596,0.09596344249809596,694057.9754900106
Volatility Targeting Fixed Baseline,0.15105494324595026,0.16466046923358102,0.937178834452377,1.1678688979929992,-0.2513510827690906,0.6009719217510606,0.36776927708602347,-0.1799007178101174,0.1526475216672462,98.0,9.404417364813405,1.9496569763396776,433171.30225371924
Volatility Targeting Walk-Forward,0.1229093697027519,0.14769387209255963,0.8591789289707674,1.0481979508927068,-0.2621200690413059,0.4689048425490204,0.2985445168779186,-0.22940650793037298,0.12597166950460767,108.0,10.364051789794363,3.7890979861296272,334675.4051918186
Dual Momentum Walk-Forward,0.1145813391436088,0.19555828416006302,0.6530790196027165,0.7916822888784045,-0.3507251342971217,0.3266983969461955,0.5218552789994872,-0.20883338642339255,0.1292216705519501,44.0,4.222391469916222,8.348819497334349,309695.24031987396
Dual Momentum Fixed Baseline,0.11318808252530155,0.20483053876548246,0.626646786413466,0.7465202938886739,-0.4485830183915175,0.25232360094940653,0.5117884779056472,-0.1453059499208108,0.12317266929775181,44.0,4.222391469916222,8.348819497334349,305684.79712544195
