,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
Trend Following,0.1553186656365364,0.15693672029132374,0.9989806077487361,1.1839828291350503,-0.22265840706287165,0.6975647930180303,0.37608693727151365,-0.16041475674065342,0.1533142289369249,79.0,5.403908794788274,10.739413680781759,825354.3669243392
QQQ Buy & Hold,0.1995448550302179,0.20557264997878166,0.9883359554757266,1.272596858724276,-0.35118723599276813,0.5682007618133567,0.5485560683330362,-0.3257702382506106,0.2011307359562676,1.0,0.06840390879478828,0.06840390879478828,1429373.9544103048
Volatility Targeting,0.15388823386353923,0.15783983545166644,0.9862295646476987,1.2585268656499033,-0.2513510827690906,0.6122441652853836,0.36776927708602347,-0.1799007178101174,0.14884820644952335,127.0,8.68729641693811,1.6818237553260496,810540.550119128
Dual Momentum,0.1099926227238821,0.19032717032775934,0.6440453786417994,0.7864562626572219,-0.44858301839151826,0.24520014849933924,0.5117884779056472,-0.1453059499208108,0.11516472889117946,59.0,4.035830618892509,8.003257328990228,459765.72127917886
