Candidate,Lookback Days,Target Volatility,Baseline,Robust Score,Full Sharpe,Full CAGR,Full Max Drawdown,Full Annual Turnover,Worst Fold Sharpe,Median Fold Sharpe,Fold Sharpe Std,Evaluation Start,Evaluation End,Fold 1 Sharpe,Fold 1 CAGR,Fold 2 Sharpe,Fold 2 CAGR,Fold 3 Sharpe,Fold 3 CAGR
"Lookback 21, Target 10%",21,0.1,False,1.0811815735959251,1.0707536613538617,0.12557462162118216,-0.14390722509010945,4.581887028422883,0.9102634824944803,1.1379247124414913,0.1134862776911323,2011-08-01,2026-06-12,0.9102634824944803,0.10274811660433247,1.162238521145202,0.14717359390143514,1.1379247124414913,0.1271702164004953
"Lookback 21, Target 12%",21,0.12,False,1.0475472645570867,1.0591063008981707,0.14201702427660323,-0.17133692573136272,4.150437679681178,0.9292465503843309,1.0942063442445544,0.09331815937493565,2011-08-01,2026-06-12,0.9292465503843309,0.11935480879729532,1.1487609492410047,0.16380692269130925,1.0942063442445544,0.14324941106000266
"Lookback 42, Target 10%",42,0.1,False,1.0091625327786788,1.0168112810177852,0.11757897756941205,-0.17699088937961915,2.752538563110715,0.9059164624793132,1.048849547792819,0.07937403002828014,2011-08-01,2026-06-12,0.9059164624793132,0.09968834604642995,1.0915261816086788,0.1369206034789383,1.048849547792819,0.11636316570755545
"Lookback 63, Target 10%",63,0.1,False,0.9920517343082396,0.9853182134267124,0.11363397869840042,-0.20276184286076537,2.1256996813441336,0.8751324483836725,1.0311551256237512,0.07820678263102328,2011-08-01,2026-06-12,0.8751324483836725,0.09509324316150103,1.0311551256237512,0.13010823876374644,1.049404095349682,0.1159046083164561
"Lookback 21, Target 15%",21,0.15,False,0.9918038662920353,1.0485910389287645,0.16131765209218396,-0.21105001100060816,3.129119600622792,0.9353968153900064,1.0387784161931208,0.09394909980217098,2011-08-01,2026-06-12,0.9353968153900064,0.13609152413252112,1.1651413536150403,0.18721959696741153,1.0387784161931208,0.16113137453439208
"Lookback 63, Target 12%",63,0.12,False,0.9731606241791716,0.9657743296405334,0.13009631825484802,-0.22670121395965304,2.141092569917977,0.8683449594684298,1.0073451494104648,0.06836905046258636,2011-08-01,2026-06-12,0.8683449594684298,0.11055717853011826,1.0187380836339286,0.1481888415720598,1.0073451494104648,0.1317830073434636
"Lookback 42, Target 12%",42,0.12,False,0.9702346806450022,0.9973812765773138,0.13356391602761053,-0.21007217399799916,2.7144481610178444,0.8880255918555483,1.0111224881466974,0.08177561500339033,2011-08-01,2026-06-12,0.8880255918555483,0.11289476702849899,1.0864243086670513,0.15544133446434394,1.0111224881466974,0.13268052939196417
"Lookback 21, Target 18%",21,0.18,False,0.9258529404646466,1.03760741758477,0.17420008686267652,-0.241124990826192,2.2819710409610434,0.9488584612406087,0.9778928923775771,0.10407990382586112,2011-08-01,2026-06-12,0.9488584612406087,0.14777902437143742,1.1827260131849844,0.20710433970351216,0.9778928923775771,0.1684124877610409
"Lookback 63, Target 15%",63,0.15,True,0.9076624417488298,0.9497679555507477,0.14945075559843812,-0.2513510827690907,1.71393078617815,0.8767352903840814,0.9387162643957851,0.06210764529391076,2011-08-01,2026-06-12,0.8767352903840814,0.12837016804689383,1.028045714903275,0.17242529292298392,0.9387162643957851,0.1479045235399017
"Lookback 21, Target 20%",21,0.2,False,0.902440997361359,1.0334500781657787,0.18111857393580744,-0.2646462282712416,1.8592668983230642,0.9475446882700373,0.9589428018892674,0.11300360905581683,2011-08-01,2026-06-12,0.9589428018892674,0.1532226104804355,1.1927572785653864,0.21994401144893927,0.9475446882700373,0.17111846097985572
"Lookback 42, Target 15%",42,0.15,False,0.900951947444258,0.977980595305714,0.15159099802640807,-0.23283790223521228,2.163749787861208,0.8555751399778062,0.9544028233965729,0.1069017519046297,2011-08-01,2026-06-12,0.8555751399778062,0.12333706156628077,1.1149907608792133,0.18265677778476186,0.9544028233965729,0.14947529959165862
