,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
50% QQQ-Floor Trend Ensemble,0.18168036308465596,0.16944409417359083,1.0705027134936485,1.3973124117023121,-0.2552437313359127,0.7117916750933094,0.4431254156339173,-0.23364622104940125,0.1875139134947397,176.0,12.27906976744186,5.232558139534883,1094376.9389938873
Risk-Adjusted Momentum,0.18499843486606982,0.18035718277087162,1.031893086809459,1.290039865127589,-0.2855936413711748,0.6477680454574078,0.49052327666737394,-0.21384072155292422,0.18958898472637198,33.0,2.302325581395349,4.534883720930233,1139256.3725457655
QQQ Leadership Filter,0.18542382422424497,0.18741249245992872,1.0019415900535176,1.257830126408895,-0.2855936413711748,0.6492575371566376,0.45461363573885016,-0.21233001491603676,0.1890568683630484,31.0,2.1627906976744184,4.255813953488372,1145132.3098330807
Relative Momentum 126d,0.1866680908718681,0.18874959289596505,1.0017273573323586,1.2594013672570226,-0.2855936413711747,0.6536143100933504,0.4840607624807951,-0.21233001491603676,0.1907675880737518,27.0,1.8837209302325582,3.697674418604651,1162481.6982885462
Dual-Horizon Momentum,0.18947808988081594,0.19168060486164606,1.001638521707273,1.2782557928248814,-0.2855936413711748,0.663453461257419,0.4840607624807951,-0.18206557376577748,0.19204499910293313,23.0,1.6046511627906976,3.13953488372093,1202566.4136912632
Blended Momentum 75/25,0.18078072539179035,0.1847485015721413,0.9923932745193934,1.2464473816781751,-0.29470284981690187,0.6134339233709785,0.4045322524385109,-0.23428862692151775,0.18501224875717198,27.0,1.8837209302325582,1.8837209302325582,1082495.2326216812
QQQ Buy & Hold,0.19895711924539072,0.20525783240149514,0.9871547588174795,1.2656524082859109,-0.3511872359927689,0.5665271936292335,0.5485560683330362,-0.3257702382506106,0.20986278642249895,1.0,0.06976744186046512,0.06976744186046512,1347469.6592039766
VOO Buy & Hold,0.1486642734535324,0.16686199830578344,0.9145292246416878,1.122161851912432,-0.33993016400492426,0.4373376922542797,0.3238645627904426,-0.18174026685580846,0.1504006512389283,1.0,0.06976744186046512,0.06976744186046512,729067.8726780756
