,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
50% QQQ-Floor Trend Ensemble,0.188858183607036,0.17905488665224084,1.0563073521273711,1.3607444704235434,-0.2552437313359135,0.7399131121402124,0.4431254156339173,-0.23364622104940125,0.1954303732335423,125.0,11.995430312261995,5.277989337395278,606600.6057128498
Risk-Adjusted Momentum,0.18434995065125626,0.192167602566618,0.9771510331079878,1.2025609992501658,-0.2855936413711746,0.6454973919102912,0.49052327666737394,-0.21384072155292422,0.1901327037389276,29.0,2.7829398324447827,5.46991622239147,583053.9425298828
Dual-Horizon Momentum,0.19262333859744474,0.20586296661382514,0.9592401615921552,1.2132350757827124,-0.2855936413711746,0.6744664820709363,0.4840607624807951,-0.18206557376577748,0.19608010525206937,21.0,2.015232292460015,3.9345011424219343,626921.2627953576
QQQ Buy & Hold,0.20432369896852087,0.22246517188674594,0.9474890842769423,1.2068088974506712,-0.3511872359927688,0.5818084429831841,0.5485560683330362,-0.3257702382506106,0.21872819468112284,1.0,0.09596344249809596,0.09596344249809596,694057.9754900106
QQQ Leadership Filter,0.18434370136189804,0.20097846427573904,0.9429651541181315,1.1734428612178112,-0.2855936413711746,0.6454755101578536,0.45461363573885016,-0.21233001491603676,0.1886809362367621,25.0,2.399086062452399,4.702208682406702,583021.8840658345
Blended Momentum 75/25,0.1808449368139573,0.19873395011529013,0.9363979586792611,1.1627851225319847,-0.29470284981690176,0.613651808682257,0.4045322524385109,-0.23428862692151775,0.18627183224468719,23.0,2.207159177456207,2.207159177456207,565321.5756064274
Relative Momentum 126d,0.18264344817513756,0.20233189391143983,0.9308926737912696,1.1590556919150647,-0.2855936413711747,0.6395221101500755,0.4840607624807951,-0.21233001491603676,0.18807298057983723,23.0,2.207159177456207,4.318354912414319,574358.6506500264
VOO Buy & Hold,0.15113611435805785,0.17917678664550812,0.8756401224890458,1.0520263798607588,-0.3399301640049246,0.4446093061510962,0.3136506341849674,-0.18174026685580846,0.1526678383573157,1.0,0.09596344249809596,0.09596344249809596,433489.7246176845
