,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value,BeatsQQQ
50% QQQ-Floor Trend Ensemble,0.18885818156230783,0.17905490822999903,1.0563072365304507,1.3607443401443955,-0.2552434961011334,0.7399137860401263,0.4431250672070721,-0.23364589436008665,0.19543035115421253,125.0,11.995430312261995,5.277989337395278,606600.5948410217,True
QQQ Buy & Hold,0.20432373292680062,0.22246522371429528,0.947489040505083,1.206808817899205,-0.351187197160324,0.5818086040121866,0.5485557706092528,-0.32577005327671094,0.21872820466623366,1.0,0.09596344249809596,0.09596344249809596,694058.1794253244,True
VOO Buy & Hold,0.15113611435364693,0.17917687467039156,0.8756397829654735,1.0520258538220848,-0.33993021786744915,0.44460923568901506,0.3136503877378032,-0.18174030064645075,0.15266783742011764,1.0,0.09596344249809596,0.09596344249809596,433489.7246003755,True
Dynamic Top7 Diversified Leadership,0.15227318536965528,0.18482029239568493,0.8598408402070583,1.0556364749502503,-0.33527933091325046,0.4541681258874087,0.36701081156140747,-0.16893664238378536,0.15420996886742938,107.0,10.268088347296267,6.484498258803558,437972.5876263673,True
Dynamic Top7 Equal Weight,0.16446490792017676,0.21228869132262065,0.8235130994208761,1.0600043245631323,-0.3316547113217787,0.4958919692855178,0.522081211504031,-0.277635662204865,0.17408226179046363,45.0,4.318354912414319,1.357197258187357,488741.39917307603,True
Dynamic Top15 Risk-Managed Top 3,0.17281231198828695,0.22942233851560648,0.8097253351741078,1.0492846468076533,-0.3137395169780115,0.5508146173387477,0.4666243532622978,-0.2005489799931739,0.17530797155126468,110.0,10.555978674790556,10.04285096762074,526508.1476801404,True
Dynamic Top7 Risk-Managed Top 3,0.1592671100166454,0.213649659505219,0.7989778541758847,1.01173230926623,-0.33313554466951434,0.47808500943556065,0.4103111977686418,-0.1684105396378326,0.16326037774115906,107.0,10.268088347296267,8.69630136304782,466479.94013847655,True
Dynamic Top7 Composite Top 3,0.17340579101489983,0.24137673495550663,0.7834367710280958,1.0234523717343675,-0.3311845642215645,0.523592611939759,0.40356458343332324,-0.1109994468389085,0.1731117281489585,79.0,7.581111957349581,6.0456968773800455,529291.1370158605,True
