Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2015-12-31,0.9609164496706185,1.301104799010881
2017,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2016-12-30,1.0321893900937626,1.129968212385806
2018,"150/200/250 ensemble, 50% QQQ floor",2011-12-29,2017-12-29,1.2747746859500644,1.307130639703989
2019,"150/200/250 ensemble, 0% QQQ floor",2011-12-29,2018-12-31,0.8586559698260755,0.9711999878071779
2020,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2019-12-31,0.8546075263745377,1.189294522302908
2021,"150/200/250 ensemble, 50% QQQ floor",2011-12-29,2020-12-31,0.9727792116005978,1.1644354587391579
2022,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2021-12-31,1.0397690788015141,1.194868321958776
2023,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2022-12-30,0.9968066883937775,0.8961320632188003
2024,"150/200/250 ensemble, 0% QQQ floor",2011-12-29,2023-12-29,0.9921333147194796,1.0275401189240487
2025,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2024-12-31,1.0169339560156823,1.0402880148620615
2026,"150/200/250 ensemble, 75% QQQ floor",2011-12-29,2025-12-31,1.0782821660268722,1.035416532169052
