Date,AAPL,AMZN,BIL,GOOGL,META,MSFT,NVDA,QQQ,TSLA,VOO
2011-01-03,9.865818977355957,9.211000442504883,73.90064239501953,14.990944862365723,,21.25133514404297,0.3621663451194763,48.45282745361328,1.7746670246124268,88.67146301269531
2011-01-04,9.917304039001465,9.250499725341797,73.90064239501953,14.935630798339844,,21.334884643554688,0.36102166771888733,48.41778564453125,1.777999997138977,88.59515380859375
2011-01-05,9.998429298400879,9.371000289916992,73.90064239501953,15.108025550842285,,21.266525268554688,0.3887220621109009,48.82950973510742,1.7886669635772705,89.06819915771484
2011-01-06,9.990351676940918,9.293000221252441,73.90064239501953,15.217912673950195,,21.889328002929688,0.4425204396247864,48.9871940612793,1.858667016029358,88.91558837890625
2011-01-07,10.061896324157715,9.274499893188477,73.8844985961914,15.290838241577148,,21.722238540649414,0.45488274097442627,48.94340515136719,1.8826669454574585,88.73249816894531
2011-01-10,10.251388549804688,9.234000205993652,73.90064239501953,15.235525131225586,,21.433618545532227,0.472281277179718,49.12735366821289,1.8966670036315918,88.65616607666016
2011-01-11,10.227140426635742,9.217000007629395,73.90064239501953,15.280174255371094,,21.350078582763672,0.46495553851127625,49.19744110107422,1.797333002090454,88.94610595703125
2011-01-12,10.310356140136719,9.204000473022461,73.8844985961914,15.301505088806152,,21.68425750732422,0.5345499515533447,49.5478515625,1.797333002090454,89.7396011352539
2011-01-13,10.3480806350708,9.27649974822998,73.8844985961914,15.297040939331055,,21.41083335876465,0.5354657769203186,49.56537628173828,1.7480000257492065,89.61751556396484
2011-01-14,10.431894302368164,9.4375,73.8844985961914,15.482832908630371,,21.494380950927734,0.540044367313385,49.933311462402344,1.7166670560836792,90.25840759277344
2011-01-18,10.197504997253418,9.5625,73.8844985961914,15.866069793701172,,21.76780128479004,0.5274533629417419,50.073463439941406,1.7093329429626465,90.4110107421875
2011-01-19,10.14332103729248,9.343500137329102,73.90064239501953,15.670607566833496,,21.623493194580078,0.5130307078361511,49.50405502319336,1.6019999980926514,89.51069641113281
2011-01-20,9.958917617797852,9.097999572753906,73.90064239501953,15.547075271606445,,21.532360076904297,0.5134884119033813,49.153648376464844,1.5080000162124634,89.4039077758789
2011-01-21,9.780503273010254,8.871000289916992,73.8844985961914,15.176487922668457,,21.28171157836914,0.5086808204650879,48.776954650878906,1.5360000133514404,89.60226440429688
2011-01-24,10.10171127319336,8.842499732971191,73.8844985961914,15.157881736755371,,21.555143356323242,0.5661425590515137,49.45148468017578,1.6326669454574585,90.15159606933594
2011-01-25,10.219954490661621,8.835000038146973,73.90064239501953,15.376912117004395,,21.60831069946289,0.5487436652183533,49.521575927734375,1.6453330516815186,90.12107849121094
2011-01-26,10.293292999267578,8.769499778747559,73.8844985961914,15.292326927185059,,21.858945846557617,0.56179279088974,49.784385681152344,1.649999976158142,90.59410095214844
2011-01-27,10.274137496948242,9.22249984741211,73.90064239501953,15.299522399902344,,21.927309036254883,0.5601903200149536,50.09098815917969,1.6613329648971558,90.71617889404297
2011-01-28,10.061294555664062,8.557000160217285,73.8844985961914,14.907601356506348,,21.07665252685547,0.5439363718032837,48.82075881958008,1.6006669998168945,89.11396026611328
2011-01-31,10.15769100189209,8.482000350952148,73.8844985961914,14.891974449157715,,21.061450958251953,0.5475990772247314,49.057273864746094,1.6066670417785645,89.80062866210938
2011-02-01,10.328619003295898,8.605500221252441,73.8844985961914,15.156891822814941,,21.258934020996094,0.5601903200149536,49.97711181640625,1.593999981880188,91.2044906616211
2011-02-02,10.307366371154785,8.67650032043457,73.8844985961914,15.180703163146973,,21.2209529876709,0.5856012105941772,49.898258209228516,1.5959999561309814,91.0518798828125
2011-02-03,10.281023025512695,8.685500144958496,73.8844985961914,15.13481616973877,,21.000690460205078,0.5746128559112549,49.98585510253906,1.5753329992294312,91.28079223632812
2011-02-04,10.372624397277832,8.796500205993652,73.90064239501953,15.155404090881348,,21.091840744018555,0.5876618027687073,50.26618957519531,1.5640000104904175,91.52493286132812
2011-02-07,10.533679008483887,8.821499824523926,73.8844985961914,15.237509727478027,,21.418428421020508,0.5631663799285889,50.50271224975586,1.5379999876022339,92.10476684570312
2011-02-08,10.633061408996582,9.152999877929688,73.8844985961914,15.338961601257324,,21.479190826416016,0.546454668045044,50.835609436035156,1.6326669454574585,92.53205108642578
2011-02-09,10.721670150756836,9.265000343322754,73.90064239501953,15.292326927185059,,21.24374008178711,0.5331765413284302,50.74800491333008,1.547333002090454,92.30313110351562
2011-02-10,10.61330509185791,9.310500144958496,73.8844985961914,15.290838241577148,,20.88676643371582,0.5224170684814453,50.826847076416016,1.5479999780654907,92.33365631103516
2011-02-11,10.682459831237793,9.462499618530273,73.8844985961914,15.490768432617188,,20.696887969970703,0.5372971296310425,51.19477844238281,1.5499999523162842,92.91350555419922
2011-02-14,10.752203941345215,9.520999908447266,73.8844985961914,15.581307411193848,,20.68169403076172,0.5290558338165283,51.317420959472656,1.5386669635772705,93.14241027832031
2011-02-15,10.77375602722168,9.451499938964844,73.90064239501953,15.482084274291992,,20.597654342651367,0.5162357687950134,51.247344970703125,1.5226670503616333,92.80668640136719
2011-02-16,10.870450973510742,9.331000328063965,73.90064239501953,15.4838228225708,,20.643489837646484,0.5352367758750916,51.580223083496094,1.6486669778823853,93.40180969238281
