Date,BIL,IAU,QQQ,TLT,VGT,VOO
2011-01-03,73.90062713623047,27.639999389648438,48.452823638916016,60.326045989990234,6.768513202667236,88.67144775390625
2011-01-04,73.90062713623047,27.0,48.417781829833984,60.397064208984375,6.777213096618652,88.59513854980469
2011-01-05,73.90062713623047,26.920000076293945,48.82952117919922,59.06663131713867,6.82507848739624,89.06818389892578
2011-01-06,73.90062713623047,26.81999969482422,48.9871940612793,59.32500076293945,6.883821487426758,88.91559600830078
2011-01-07,73.88448333740234,26.780000686645508,48.943389892578125,59.64146423339844,6.867504119873047,88.73247528076172
2011-01-10,73.90062713623047,26.8799991607666,49.127376556396484,59.96436309814453,6.8892598152160645,88.6562271118164
2011-01-11,73.90062713623047,27.0,49.197444915771484,59.62850570678711,6.90122652053833,88.9461441040039
2011-01-12,73.88448333740234,27.1200008392334,49.547855377197266,59.16353988647461,6.964322566986084,89.73958587646484
2011-01-13,73.88448333740234,26.860000610351562,49.56538391113281,59.6931266784668,6.957794189453125,89.61753845214844
2011-01-14,73.88448333740234,26.600000381469727,49.933292388916016,59.312103271484375,7.0241522789001465,90.25840759277344
2011-01-18,73.88448333740234,26.719999313354492,50.07346725463867,59.034393310546875,7.05570125579834,90.41099548339844
2011-01-19,73.90062713623047,26.780000686645508,49.50404357910156,59.46062088012695,6.982812404632568,89.51073455810547
2011-01-20,73.90062713623047,26.260000228881836,49.15365219116211,58.64041519165039,6.918631553649902,89.40389251708984
2011-01-21,73.88448333740234,26.260000228881836,48.77696228027344,59.10543441772461,6.878383159637451,89.6022720336914
2011-01-24,73.88448333740234,26.100000381469727,49.45149612426758,59.131248474121094,6.9773736000061035,90.15160369873047
2011-01-25,73.90062713623047,26.059999465942383,49.52157211303711,59.6931266784668,6.987165927886963,90.12109375
2011-01-26,73.88448333740234,26.280000686645508,49.78437805175781,58.78900909423828,7.038294315338135,90.59410095214844
2011-01-27,73.90062713623047,25.639999389648438,50.09099197387695,59.05377960205078,7.070928573608398,90.71617126464844
2011-01-28,73.88448333740234,26.079999923706055,48.82075881958008,59.3637580871582,6.909928798675537,89.11398315429688
2011-01-31,73.88448333740234,26.020000457763672,49.057281494140625,58.91166687011719,6.955617904663086,89.80062866210938
2011-02-01,73.88448333740234,26.18000030517578,49.97710418701172,58.62002944946289,7.089420795440674,91.20453643798828
2011-02-02,73.88448333740234,26.139999389648438,49.89826583862305,58.63301467895508,7.1122660636901855,91.05191802978516
2011-02-03,73.88448333740234,26.459999084472656,49.98586654663086,58.14695358276367,7.120972633361816,91.28080749511719
2011-02-04,73.90062713623047,26.3799991607666,50.266197204589844,57.557159423828125,7.178625106811523,91.52494812011719
2011-02-07,73.88448333740234,26.399999618530273,50.502708435058594,57.85530090332031,7.2199625968933105,92.1047592163086
2011-02-08,73.88448333740234,26.68000030517578,50.83560562133789,57.323875427246094,7.249334335327148,92.53202056884766
2011-02-09,73.90062713623047,26.68000030517578,50.748016357421875,57.8228874206543,7.229752063751221,92.30319213867188
2011-02-10,73.88448333740234,26.639999389648438,50.82684326171875,57.15532684326172,7.204732894897461,92.33363342285156
2011-02-11,73.88448333740234,26.520000457763672,51.19477081298828,57.97840881347656,7.237366199493408,92.91352081298828
2011-02-14,73.88448333740234,26.639999389648438,51.31742858886719,58.01731491088867,7.260213375091553,93.14242553710938
2011-02-15,73.90062713623047,26.81999969482422,51.2473258972168,58.27657699584961,7.224315166473389,92.80669403076172
2011-02-16,73.90062713623047,26.860000610351562,51.580230712890625,58.088623046875,7.279794692993164,93.40179443359375
2011-02-17,73.90062713623047,27.059999465942383,51.56271743774414,58.179344177246094,7.293935298919678,93.75276947021484
2011-02-18,73.88448333740234,27.1200008392334,51.44882583618164,57.997886657714844,7.289585113525391,93.90538024902344
2011-02-22,73.88448333740234,27.31999969482422,49.95956802368164,58.86628341674805,7.089420795440674,91.98271179199219
2011-02-23,73.90062713623047,27.559999465942383,49.547855377197266,59.0802001953125,6.987165927886963,91.4638671875
2011-02-24,73.90062713623047,27.360000610351562,49.8106689453125,59.45611572265625,7.01871395111084,91.37236022949219
2011-02-25,73.90062713623047,27.540000915527344,50.502708435058594,59.80604553222656,7.120972633361816,92.36418914794922
2011-02-28,73.88448333740234,27.579999923706055,50.60783767700195,59.883811950683594,7.1253204345703125,92.91352081298828
2011-03-01,73.88448333740234,28.059999465942383,49.793148040771484,60.05744171142578,6.996956825256348,91.32657623291016
2011-03-02,73.90062713623047,28.040000915527344,50.05594253540039,59.13412094116211,7.035029411315918,91.58598327636719
2011-03-03,73.88448333740234,27.68000030517578,51.04585266113281,58.555511474609375,7.160130023956299,93.15766143798828
2011-03-04,73.90062713623047,27.920000076293945,50.78305435180664,59.043121337890625,7.1187944412231445,92.47098541259766
2011-03-07,73.88448333740234,28.0,50.0997428894043,58.666011810302734,7.011098384857178,91.66226196289062
2011-03-08,73.88448333740234,27.920000076293945,50.301212310791016,58.30845642089844,7.062226295471191,92.51678466796875
2011-03-09,73.88448333740234,27.940000534057617,49.95956802368164,58.87406539916992,7.005659580230713,92.40997314453125
2011-03-10,73.88448333740234,27.6200008392334,49.179931640625,59.86238479614258,6.859889507293701,90.71617126464844
2011-03-11,73.90062713623047,27.700000762939453,49.48654556274414,59.524261474609375,6.90231466293335,91.32657623291016
2011-03-14,73.90062713623047,27.84000015258789,49.31133270263672,59.49827194213867,6.867504119873047,90.79248046875
2011-03-15,73.9167709350586,27.31999969482422,48.61050033569336,60.388999938964844,6.771775245666504,89.78536987304688
2011-03-16,73.9167709350586,27.299999237060547,47.43663787841797,61.07167434692383,6.600985050201416,88.07635498046875
2011-03-17,73.9167709350586,27.440000534057617,47.8746452331543,60.60355758666992,6.65646505355835,89.17501068115234
2011-03-18,73.9167709350586,27.719999313354492,47.76673889160156,60.76612854003906,6.671694755554199,89.55651092529297
2011-03-21,73.9167709350586,27.899999618530273,48.687870025634766,60.40851974487305,6.804410457611084,90.9145736694336
2011-03-22,73.88448333740234,27.8799991607666,48.600135803222656,60.610107421875,6.785917282104492,90.59410095214844
2011-03-23,73.90062713623047,28.1200008392334,48.872100830078125,60.53206253051758,6.826168537139893,90.884033203125
2011-03-24,73.88448333740234,27.8799991607666,49.7405891418457,60.07693099975586,6.934950351715088,91.73857116699219
2011-03-25,73.88448333740234,27.899999618530273,49.8634147644043,59.927364349365234,6.956706523895264,92.01141357421875
2011-03-28,73.90062713623047,27.739999771118164,49.5914421081543,60.011924743652344,6.921895980834961,91.81216430664062
2011-03-29,73.88448333740234,27.719999313354492,50.073944091796875,59.55031204223633,6.966499328613281,92.40990447998047
2011-03-30,73.90062713623047,27.780000686645508,50.310794830322266,60.0249137878418,6.991515636444092,93.03834533691406
2011-03-31,73.88448333740234,28.040000915527344,50.3809814453125,59.9013671875,6.987165927886963,92.91573333740234
2011-04-01,73.88448333740234,27.899999618530273,50.40729904174805,60.19258117675781,6.966499328613281,93.34490203857422
2011-04-04,73.88448333740234,28.0,50.24060821533203,60.257904052734375,6.936036586761475,93.390869140625
2011-04-05,73.88448333740234,28.459999084472656,50.10903549194336,60.01629638671875,6.940389156341553,93.390869140625
2011-04-06,73.88448333740234,28.540000915527344,50.231842041015625,59.11526870727539,6.989343643188477,93.666748046875
2011-04-07,73.90062713623047,28.540000915527344,50.19675827026367,58.99773025512695,6.982812404632568,93.49818420410156
2011-04-08,73.88448333740234,28.780000686645508,49.95989227294922,58.684322357177734,6.943653106689453,93.14564514160156
2011-04-11,73.88448333740234,28.600000381469727,49.793209075927734,58.736572265625,6.924071311950684,92.82376861572266
2011-04-12,73.90062713623047,28.399999618530273,49.45107650756836,59.36989212036133,6.856624126434326,92.14933776855469
2011-04-13,73.90062713623047,28.459999084472656,49.872169494628906,59.74205780029297,6.90884256362915,92.17997741699219
2011-04-14,73.88448333740234,28.81999969482422,49.78444290161133,59.696372985839844,6.891435146331787,92.1952896118164
2011-04-15,73.90062713623047,29.059999465942383,49.696712493896484,60.50603485107422,6.8740315437316895,92.5171890258789
2011-04-18,73.88448333740234,29.239999771118164,49.345821380615234,60.6430778503418,6.81093692779541,91.50559997558594
2011-04-19,73.88448333740234,29.260000228881836,49.65284729003906,60.90423583984375,6.838132381439209,92.07270812988281
2011-04-20,73.88448333740234,29.34000015258789,50.77574920654297,60.51253128051758,7.006748676300049,93.31422424316406
2011-04-21,73.88448333740234,29.399999618530273,51.17927932739258,60.46029281616211,7.067667007446289,93.72807312011719
2011-04-25,73.88448333740234,29.440000534057617,51.31087112426758,60.68878936767578,7.087244987487793,93.63610076904297
2011-04-26,73.88448333740234,29.34000015258789,51.600372314453125,61.2763786315918,7.139463901519775,94.44847106933594
2011-04-27,73.88448333740234,29.899999618530273,51.95127868652344,60.64960479736328,7.1742730140686035,95.06155395507812
2011-04-28,73.88448333740234,30.020000457763672,51.87230682373047,61.11321258544922,7.175360679626465,95.36811065673828
2011-04-29,73.88448333740234,30.540000915527344,51.828460693359375,61.30256652832031,7.200380325317383,95.64403533935547
2011-05-02,73.88448333740234,30.1200008392334,51.73196029663086,61.40089416503906,7.154691696166992,95.42942810058594
2011-05-03,73.88448333740234,30.020000457763672,51.48631286621094,61.748416900634766,7.117706298828125,95.12287139892578
2011-05-04,73.9167709350586,29.6200008392334,51.40737533569336,62.023807525634766,7.097037315368652,94.47914123535156
2011-05-05,73.9167709350586,28.760000228881836,51.12664031982422,62.61391067504883,7.066578388214111,93.65145111083984
2011-05-06,73.9167709350586,29.139999389648438,51.29334259033203,62.33859634399414,7.097037315368652,94.095947265625
2011-05-09,73.9167709350586,29.559999465942383,51.48631286621094,62.27299880981445,7.127497673034668,94.47914123535156
