Top N,Breadth Threshold,Stock Sleeve,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
3,5,1.0,0.352377269314754,0.25808280582862236,1.2997357866010597,1.679739435580381,-0.3480371131045752,1.012470383320513,1.1585023636936889,-0.18640050886352366,0.3743070382440793,102.0,9.788271134805788,7.928305338151174,2323394.5408076267
3,3,1.0,0.3547494348159115,0.26372447971290647,1.2842060444570875,1.671754665276449,-0.3480371131045751,1.0192862239646252,1.1585023636936889,-0.18640050886352366,0.37763276669479756,106.0,10.172124904798173,7.04802781726832,2366215.3969310476
3,5,0.8,0.3105761120023174,0.23184086093590098,1.2835938937021498,1.633737572264517,-0.34366244624079656,0.9037243242594615,0.9067346360560493,-0.182702167157069,0.3238345447279597,102.0,9.788271134805788,7.129544499005326,1675063.2128634073
4,5,1.0,0.3183292775901245,0.23839828333823176,1.2795815007376703,1.6213773242735634,-0.3248705645511527,0.9798649441507089,0.9844262531110304,-0.18682424036495382,0.339835363968305,99.0,9.5003808073115,6.988757841636714,1781251.3758977968
3,3,0.8,0.312093185775693,0.23659210711346337,1.2674437440751662,1.6244070363400054,-0.34366244624079656,0.9081387541454451,0.9067346360560493,-0.182702167157069,0.32600551515094145,106.0,10.172124904798173,6.1950102203036135,1695379.2527039584
4,5,0.8,0.2823887927581532,0.21718822156602804,1.2548645223843273,1.5669020495378916,-0.3274773248915762,0.8623155598686069,0.7806698093302034,-0.18326365334403616,0.29607133584892664,99.0,9.5003808073115,6.377906501793758,1335469.5892808235
3,5,0.6,0.26864899722510316,0.20770796225203625,1.250503665617297,1.5562566210978774,-0.3423690133325895,0.7846767282181811,0.6791787565610745,-0.1792216661367867,0.27562618739091693,102.0,9.788271134805788,6.330783659859478,1193668.7951156984
4,4,1.0,0.31001774749859323,0.240680104622277,1.2434427807241253,1.5734809746663814,-0.3248705645511528,0.9542808161980433,0.9844262531110304,-0.18682424036495382,0.33340708758951004,101.0,9.692307692307692,7.051128047430218,1667641.4075466748
4,3,1.0,0.31001774749859323,0.240680104622277,1.2434427807241253,1.5734809746663814,-0.3248705645511528,0.9542808161980433,0.9844262531110304,-0.18682424036495382,0.33340708758951004,101.0,9.692307692307692,7.051128047430218,1667641.4075466748
3,4,1.0,0.3355777530551092,0.26235825479774916,1.2351184439818927,1.6050921566194043,-0.3480371131045751,0.964201059081529,1.1585023636936889,-0.18640050886352366,0.3609493345905644,106.0,10.172124904798173,8.10353538730324,2039635.711250075
3,3,0.6,0.26928453815997044,0.21158581968692622,1.2338152036119516,1.545180812616615,-0.34236901333258885,0.786533032118705,0.6791787565610745,-0.1792216661367867,0.276725796065292,106.0,10.172124904798173,5.341992623338905,1199914.8399210805
2,3,1.0,0.39524648318023714,0.3111667724670681,1.2269836021190892,1.598987147963394,-0.454087013952007,0.8704201420347405,1.5386654218423903,-0.24589345765322346,0.45285793446301115,107.0,10.268088347296267,7.3611955188267615,3216285.556230401
2,3,0.8,0.3453823135419565,0.2726988577711406,1.2253904905225104,1.5740986981115548,-0.42377354625075103,0.8150162193880557,1.1832080318192921,-0.2298685956165437,0.3815407258732351,107.0,10.268088347296267,6.445544381550366,2201172.8529776973
3,4,0.8,0.2964457495198285,0.2354850113011528,1.2212824454066349,1.5620307543773275,-0.3436624462407968,0.8626073426484179,0.9067346360560493,-0.182702167157069,0.3122191594531657,106.0,10.172124904798173,7.2697285383269765,1496138.8428458748
