,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
Trend Ensemble Fixed Baseline,0.16707051277297968,0.16058561851228656,1.0429991550139337,1.2096018494879839,-0.22001438359858294,0.7593617746274283,0.36861435659603625,-0.14944262175945577,0.1692071608808128,125.0,11.995430312261995,10.46001523229246,500258.34825934784
Partial Trend Fixed Baseline,0.16449757526234499,0.16291158404279973,1.0168836753213648,1.1617273710832683,-0.22265840706287088,0.7387889702089563,0.37608693727151365,-0.16041475674065342,0.168195082806073,53.0,5.086062452399086,10.076161462300076,488884.2945221939
Partial Trend Walk-Forward,0.18581939232532196,0.1934029523621192,0.9785923234373538,1.2488748623206767,-0.30623606217163635,0.6067848149809856,0.5040301588269298,-0.2812422776779119,0.19661164186832839,54.0,5.182025894897182,3.6466108149276466,590636.4829184687
Trend Ensemble Walk-Forward,0.18424247108455605,0.19574909789640849,0.962316867429153,1.2335576521796887,-0.3028860150698426,0.6082897919274072,0.49509123123697174,-0.27903576889074955,0.19411679053065659,126.0,12.091393754760091,4.222391469916222,582502.8009944562
QQQ Buy & Hold,0.20432369896852087,0.22246517188674594,0.9474890842769423,1.2068088974506712,-0.3511872359927688,0.5818084429831841,0.5485560683330362,-0.3257702382506106,0.21872819468112284,1.0,0.09596344249809596,0.09596344249809596,694057.9754900106
