,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value,BeatsQQQ
"150/200/250 ensemble, 50% QQQ floor",0.18672401253081627,0.16908841277143805,1.097602995113012,1.431232330541374,-0.2552437313359118,0.7315518056154702,0.4431254156339173,-0.23364622104940125,0.1809277080116001,179.0,12.412768299394607,5.33957072096863,1180783.6044575758,True
"Vol-Adj Ensemble, 50% max floor, 10%/35% vol",0.17260537931429165,0.15637651914845746,1.0970132103231471,1.3589856348935585,-0.21908468061452335,0.7878477802744619,0.370245674949347,-0.1703547439326185,0.1650003535536019,570.0,39.52669235002752,8.085280709476601,993605.6374598747,True
"200-day SMA, 25% QQQ floor",0.17596177570516747,0.15972986363376043,1.0952225213212379,1.3800898340563117,-0.23412479299185351,0.7515725842469411,0.41780603825106066,-0.1979389245172336,0.17007558561498198,70.0,4.854155200880572,7.246560264171712,1035415.6270534183,True
"200-day SMA, 50% QQQ floor",0.18677593904226852,0.16968450633613125,1.0946116514086779,1.4197607818481934,-0.26246567085836314,0.7116204509010254,0.4604502709797964,-0.23842213918850996,0.18153569795314006,70.0,4.854155200880572,4.854155200880572,1181528.88817644,True
"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",0.18753996093655623,0.17103710459888183,1.0910409727220882,1.419186535901451,-0.26893373631719586,0.6973463556664414,0.4514679242249038,-0.2457943305155329,0.18104871118892013,598.0,41.46835443037975,3.177082061998867,1192545.3689835705,True
"150/200/250 ensemble, 0% QQQ floor",0.16403791699354353,0.15405270302858762,1.0635806333409077,1.2804666021214097,-0.2200143835985826,0.7455781495305851,0.36861435659603625,-0.14944262175945577,0.15711971731647442,179.0,12.412768299394607,10.609796367638966,893897.7761654524,True
"150/200/250 ensemble, 75% QQQ floor",0.1963285454808874,0.18494750712174696,1.0622699909570201,1.3832256823102245,-0.3028860150698427,0.6481928372811002,0.49509123123697174,-0.27903576889074955,0.19208131884615556,179.0,12.412768299394607,2.704457897633462,1326334.7296366857,True
"200-day SMA, 75% QQQ floor",0.1963767681418669,0.18512041955886985,1.061673973552942,1.3799628633302572,-0.3062360621716367,0.6412594478562856,0.5040301588269298,-0.2812422776779119,0.19242467551319764,70.0,4.854155200880572,2.461750137589433,1327105.909540705,True
Binary 200-day Trend,0.16396824892005468,0.15630727006579515,1.0501165441017413,1.2438869520455385,-0.2226584070628712,0.7364116679131527,0.37608693727151365,-0.16041475674065342,0.15804045898911742,70.0,4.854155200880572,9.63896532746285,893126.580637855,True
"200-day SMA, 0% QQQ floor",0.16396824892005468,0.15630727006579515,1.0501165441017413,1.2438869520455385,-0.2226584070628712,0.7364116679131527,0.37608693727151365,-0.16041475674065342,0.15804045898911742,70.0,4.854155200880572,9.63896532746285,893126.580637855,True
QQQ Buy & Hold,0.20473228444997837,0.20480196160634306,1.0123751916848134,1.2965151870069622,-0.35118723599276946,0.5829718835629709,0.5485560683330362,-0.3257702382506106,0.20274921980407798,1.0,0.0693450742982939,0.0693450742982939,1467212.6806733434,True
