Candidate,Lookback Days,Baseline,Robust Score,Full Sharpe,Full CAGR,Full Max Drawdown,Full Annual Turnover,Worst Fold Sharpe,Median Fold Sharpe,Fold Sharpe Std,Evaluation Start,Evaluation End,Fold 1 Sharpe,Fold 1 CAGR,Fold 2 Sharpe,Fold 2 CAGR,Fold 3 Sharpe,Fold 3 CAGR
Lookback 252,252,False,0.8411238926598206,0.8261758081967474,0.1479472190596125,-0.3350758677939224,6.209302325581395,0.4454994922325593,0.9661379446991774,0.2500281040787136,2012-02-01,2026-06-12,0.4454994922325593,0.056810143819468806,0.9851302633243937,0.19787549209275257,0.9661379446991774,0.1948688041032609
Lookback 63,63,False,0.7122795227545696,0.730966746819733,0.1215407219348037,-0.2674158567055488,11.232558139534884,0.3564086517791429,0.8362547003633626,0.2479503552175859,2012-02-01,2026-06-12,0.3564086517791429,0.041699367153502864,0.8362547003633626,0.1479055568339127,0.9187724166422213,0.17966914985065263
Lookback 126,126,True,0.5642315452557691,0.6375371495619936,0.10843705221452793,-0.4485830183915174,8.162790697674419,0.45049385019531357,0.6500308468087126,0.17159860310588682,2012-02-01,2026-06-12,0.6500308468087126,0.08694041782668327,0.45049385019531357,0.07833831702244054,0.8706466534896182,0.16181229634869632
Lookback 189,189,False,0.3133783466404517,0.6352437822074916,0.10275407568235617,-0.32517782499666525,8.023255813953488,0.12871264278708197,0.5243616250195059,0.42196655675810835,2012-02-01,2026-06-12,0.12871264278708197,0.00814867043202061,1.1534877973313837,0.22281480120940067,0.5243616250195059,0.0877131672228122
