Candidate,SMA Days,Baseline,Robust Score,Full Sharpe,Full CAGR,Full Max Drawdown,Full Annual Turnover,Worst Fold Sharpe,Median Fold Sharpe,Fold Sharpe Std,Evaluation Start,Evaluation End,Fold 1 Sharpe,Fold 1 CAGR,Fold 2 Sharpe,Fold 2 CAGR,Fold 3 Sharpe,Fold 3 CAGR
SMA 200,200,True,0.9281179551566989,1.0018450948034845,0.1558573925287834,-0.22265840706287165,9.3515625,0.7925723775968262,1.005929561461307,0.15562321260921627,2012-03-13,2026-06-12,0.7925723775968262,0.10170383786535875,1.1728248415138078,0.21478012748622644,1.005929561461307,0.15375322264476288
SMA 150,150,False,0.9258410228800869,1.0313560975973572,0.15771403788155625,-0.2199463722928603,12.1640625,0.6879519330655296,1.049522695357354,0.2473633449545342,2012-03-13,2026-06-12,0.6879519330655296,0.08433332753873435,1.289805892727713,0.23627368138432003,1.049522695357354,0.15741668874605197
SMA 300,300,False,0.812585885921815,0.8372358405227005,0.13517540988313792,-0.3716994296423526,8.5078125,0.7602718711126187,0.8431831824891953,0.06119459313476068,2012-03-13,2026-06-12,0.7602718711126187,0.10037512604735621,0.9098745927090597,0.17578307885870803,0.8431831824891953,0.13053192278749703
SMA 100,100,False,0.7796692061859747,0.7541497435617024,0.10338387165882179,-0.228817471843191,22.5703125,0.35261421440550367,0.9127609975451042,0.26618358271825915,2012-03-13,2026-06-12,0.35261421440550367,0.03571981951821379,0.9127609975451042,0.14281896143004946,0.9216829946808079,0.13483768894958903
SMA 250,250,False,0.7105599389039962,0.9599566211882977,0.15084308950352598,-0.26410779797565787,9.9140625,0.7527835395120711,0.8211300549800804,0.2211402321521685,2012-03-13,2026-06-12,0.7527835395120711,0.09762520203565717,1.2523169541256192,0.23539047517013456,0.8211300549800804,0.12394431299651876
